raceId,driverId,nbStops,compound
1010,1,0,1
1010,1,1,2
1010,822,0,1
1010,822,1,2
1010,830,0,1
1010,830,1,2
1010,20,0,1
1010,20,1,2
1010,844,0,1
1010,844,1,3
1010,825,0,1
1010,825,1,2
1010,807,0,1
1010,807,1,3
1010,8,0,1
1010,8,1,2
1010,840,0,2
1010,840,1,3
1010,826,0,2
1010,826,1,3
1010,842,0,2
1010,842,1,1
1010,846,0,1
1010,846,1,3
1010,815,0,1
1010,815,1,3
1010,848,0,1
1010,848,1,2
1010,841,0,2
1010,841,1,1
1010,847,0,2
1010,847,1,1
1010,847,2,3
1010,9,0,3
1010,9,1,2
1010,9,2,1
1010,9,3,1
1010,154,0,1
1010,154,1,2
1010,817,0,1
1010,817,1,3
1010,832,0,1
1011,1,0,1
1011,1,1,1
1011,1,2,2
1011,822,0,1
1011,822,1,2
1011,822,2,1
1011,844,0,1
1011,844,1,2
1011,844,2,2
1011,830,0,1
1011,830,1,2
1011,830,2,2
1011,20,0,1
1011,20,1,2
1011,20,2,2
1011,20,3,1
1011,846,0,1
1011,846,1,2
1011,846,2,1
1011,8,0,1
1011,8,1,2
1011,8,2,1
1011,842,0,1
1011,842,1,1
1011,842,2,2
1011,848,0,1
1011,848,1,1
1011,848,2,2
1011,815,0,1
1011,815,1,2
1011,815,2,2
1011,841,0,1
1011,841,1,2
1011,841,2,1
1011,826,0,1
1011,826,1,2
1011,826,2,1
1011,825,0,1
1011,825,1,2
1011,825,2,1
1011,840,0,1
1011,840,1,2
1011,840,2,2
1011,847,0,1
1011,847,1,2
1011,847,2,2
1011,9,0,2
1011,9,1,1
1011,9,2,2
1011,807,0,1
1011,807,1,1
1011,807,2,2
1011,817,0,1
1011,817,1,2
1011,832,0,1
1011,832,1,2
1011,832,2,3
1011,832,3,1
1011,154,0,1
1011,154,1,2
1012,1,0,2
1012,1,1,3
1012,1,2,2
1012,822,0,2
1012,822,1,3
1012,822,2,2
1012,20,0,2
1012,20,1,3
1012,20,2,2
1012,830,0,2
1012,830,1,3
1012,830,2,2
1012,844,0,2
1012,844,1,3
1012,844,2,2
1012,842,0,1
1012,842,1,3
1012,842,2,2
1012,842,3,1
1012,817,0,1
1012,817,1,3
1012,815,0,2
1012,815,1,3
1012,8,0,2
1012,8,1,3
1012,848,0,1
1012,848,1,3
1012,154,0,1
1012,154,1,3
1012,154,2,2
1012,840,0,2
1012,840,1,3
1012,840,2,1
1012,825,0,1
1012,825,1,3
1012,825,2,2
1012,832,0,2
1012,832,1,3
1012,832,2,1
1012,841,0,1
1012,841,1,2
1012,841,2,2
1012,847,0,2
1012,847,1,3
1012,847,2,1
1012,9,0,2
1012,9,1,3
1012,846,0,2
1012,846,1,3
1012,846,2,2
1012,846,3,1
1012,826,0,2
1012,826,1,2
1012,826,2,3
1012,826,3,1
1012,807,0,1
1012,807,1,3
1013,822,0,1
1013,822,1,2
1013,1,0,1
1013,1,1,2
1013,20,0,1
1013,20,1,2
1013,830,0,1
1013,830,1,2
1013,844,0,2
1013,844,1,1
1013,844,2,1
1013,815,0,1
1013,815,1,2
1013,832,0,1
1013,832,1,2
1013,846,0,1
1013,846,1,2
1013,846,2,1
1013,840,0,1
1013,840,1,2
1013,8,0,1
1013,8,1,2
1013,848,0,1
1013,848,1,2
1013,841,0,1
1013,841,1,2
1013,825,0,1
1013,825,1,2
1013,825,2,1
1013,807,0,1
1013,807,1,2
1013,807,2,1
1013,847,0,2
1013,847,1,2
1013,847,2,1
1013,9,0,2
1013,9,1,2
1013,9,2,2
1013,9,3,1
1013,842,0,2
1013,154,0,2
1013,154,1,1
1013,826,0,1
1013,826,1,2
1013,817,0,1
1013,817,1,2
