,raceId,driverId,constructorId,grid,currentStanding
0,18,1,1,1,1
1,18,5,1,3,5
2,18,2,2,5,2
3,18,3,3,7,3
4,18,6,3,13,6
5,18,4,4,11,4
6,18,7,5,17,7
7,18,8,6,15,8
8,19,8,6,2,2
9,19,9,2,4,5
10,19,2,2,5,3
11,19,5,1,8,4
12,19,1,1,9,1
13,19,15,7,3,8
14,19,17,9,6,11
15,19,14,9,12,12
16,19,4,4,7,7
17,19,12,4,13,14
18,19,18,11,11,13
19,19,22,11,14,16
20,19,21,10,17,15
21,19,3,3,16,6
22,19,6,3,22,9
23,19,19,8,21,17
24,19,11,8,19,18
25,19,7,5,18,10
26,20,13,6,2,6
27,20,8,6,4,1
28,20,9,2,1,4
29,20,2,2,6,2
30,20,5,1,5,5
31,20,1,1,3,3
32,20,15,7,7,7
33,20,10,7,13,14
34,20,17,9,11,10
35,20,14,9,17,13
36,20,3,3,8,8
37,20,6,3,16,11
38,20,4,4,10,9
39,20,12,4,14,17
40,20,22,11,12,16
41,20,18,11,9,15
42,20,21,10,18,18
43,20,16,10,20,21
44,20,7,5,15,12
45,20,19,8,21,19
46,20,11,8,22,20
47,21,8,6,1,1
48,21,13,6,3,4
49,21,1,1,5,2
50,21,5,1,6,6
51,21,9,2,4,3
52,21,2,2,9,5
53,21,17,9,7,8
54,21,14,9,17,15
55,21,18,11,13,12
56,21,22,11,11,17
57,21,6,3,12,11
58,21,3,3,15,9
59,21,15,7,8,7
60,21,10,7,14,14
61,21,21,10,19,16
62,21,16,10,20,21
63,21,11,8,22,19
64,21,19,8,21,20
65,21,4,4,2,10
66,21,12,4,10,18
67,21,7,5,16,13
68,22,13,6,1,2
69,22,8,6,4,1
70,22,1,1,3,3
71,22,5,1,2,6
72,22,9,2,5,4
73,22,2,2,9,5
74,22,4,4,7,8
75,22,12,4,17,18
76,22,17,9,6,7
77,22,14,9,10,14
78,22,3,3,11,10
79,22,6,3,16,11
80,22,15,7,8,9
81,22,10,7,15,15
82,22,18,11,13,12
83,22,22,11,12,17
84,22,16,10,19,21
85,22,21,10,20,16
86,22,20,5,14,22
87,22,7,5,18,13
88,23,1,1,3,1
89,23,5,1,4,6
90,23,9,2,5,4
91,23,2,2,12,5
92,23,13,6,1,3
93,23,8,6,2,2
94,23,17,9,9,7
95,23,14,9,15,16
96,23,20,5,19,12
97,23,7,5,16,15
98,23,22,11,14,14
99,23,18,11,11,13
100,23,6,3,13,11
101,23,3,3,6,10
102,23,4,4,7,8
103,23,12,4,17,19
104,23,10,7,10,17
105,23,15,7,8,9
106,23,16,10,18,22
107,23,21,10,20,18
108,24,9,2,2,1
109,24,2,2,8,5
110,24,14,9,13,12
111,24,17,9,10,7
112,24,10,7,11,13
113,24,15,7,14,8
114,24,13,6,6,3
115,24,8,6,3,4
116,24,22,11,9,15
117,24,18,11,20,16
118,24,20,5,19,14
119,24,7,5,18,17
120,24,5,1,7,6
121,24,1,1,1,2
122,24,3,3,5,10
123,24,6,3,12,11
124,24,21,10,17,18
125,24,16,10,16,22
126,24,4,4,4,9
127,24,12,4,15,19
128,25,13,6,2,1
129,25,8,6,1,3
130,25,15,7,4,7
131,25,10,7,8,13
132,25,5,1,10,6
133,25,1,1,13,4
134,25,9,2,5,2
135,25,2,2,11,5
136,25,17,9,6,8
137,25,14,9,7,12
138,25,12,4,9,17
139,25,4,4,3,9
140,25,20,5,12,14
141,25,7,5,14,18
142,25,22,11,20,15
143,25,18,11,16,16
144,25,6,3,15,11
145,25,3,3,19,10
146,25,21,10,17,19
147,25,16,10,18,22
148,26,1,1,4,1
149,26,5,1,1,6
150,26,2,2,5,5
151,26,9,2,10,4
152,26,22,11,16,10
153,26,18,11,17,16
154,26,8,6,3,3
155,26,13,6,9,2
156,26,4,4,6,9
157,26,12,4,7,18
158,26,15,7,14,7
159,26,10,7,12,14
160,26,6,3,15,12
161,26,3,3,20,11
162,26,17,9,2,8
163,26,14,9,11,13
164,26,7,5,13,17
165,26,20,5,8,15
166,26,21,10,19,19
167,26,16,10,18,22
168,27,1,1,1,1
169,27,5,1,3,6
170,27,12,4,17,11
171,27,4,4,5,9
172,27,13,6,2,2
173,27,8,6,6,3
174,27,2,2,12,5
175,27,9,2,7,4
176,27,20,5,9,15
177,27,7,5,15,18
178,27,15,7,4,7
179,27,10,7,11,16
180,27,3,3,13,12
181,27,6,3,16,13
182,27,14,9,10,14
183,27,17,9,8,8
184,27,16,10,19,21
185,27,21,10,20,19
186,27,18,11,14,17
187,27,22,11,18,10
188,28,5,1,2,6
189,28,1,1,1,1
190,28,10,7,5,10
191,28,15,7,9,7
192,28,8,6,6,2
193,28,13,6,3,3
194,28,4,4,7,8
195,28,12,4,10,11
196,28,9,2,4,4
197,28,2,2,15,5
198,28,17,9,8,9
199,28,14,9,13,15
200,28,18,11,12,17
201,28,22,11,17,12
202,28,6,3,16,14
203,28,3,3,14,13
204,28,21,10,18,19
205,28,16,10,20,21
206,28,7,5,19,18
207,28,20,5,11,16
208,29,13,6,1,2
209,29,8,6,4,3
210,29,1,1,2,1
211,29,5,1,5,5
212,29,9,2,3,4
213,29,2,2,8,6
214,29,15,7,7,7
215,29,10,7,13,10
216,29,20,5,6,14
217,29,7,5,10,18
218,29,3,3,9,13
219,29,6,3,11,15
220,29,12,4,15,11
221,29,4,4,12,8
222,29,17,9,14,9
223,29,14,9,17,16
224,29,18,11,16,17
225,29,22,11,19,12
226,29,21,10,18,19
227,29,16,10,20,21
228,30,13,6,2,2
229,30,8,6,4,4
230,30,2,2,5,5
231,30,9,2,8,3
232,30,1,1,1,1
233,30,5,1,3,6
234,30,4,4,6,8
235,30,12,4,12,11
236,30,20,5,10,12
237,30,7,5,9,17
238,30,17,9,7,9
239,30,14,9,14,16
240,30,10,7,13,10
241,30,15,7,11,7
242,30,3,3,15,14
243,30,6,3,19,15
244,30,16,10,18,20
245,30,21,10,20,19
246,30,18,11,17,18
247,30,22,11,16,13
248,31,20,5,1,9
249,31,7,5,4,17
250,31,5,1,2,6
251,31,1,1,15,1
252,31,9,2,11,3
253,31,2,2,10,5
254,31,4,4,8,7
255,31,12,4,17,12
256,31,13,6,6,2
257,31,8,6,14,4
258,31,17,9,3,10
259,31,14,9,13,16
260,31,10,7,9,11
261,31,15,7,7,8
262,31,6,3,18,15
263,31,3,3,5,14
264,31,18,11,19,18
265,31,22,11,16,13
266,31,16,10,20,20
267,31,21,10,12,19
268,32,4,4,15,7
269,32,12,4,16,13
270,32,3,3,8,12
271,32,6,3,10,15
272,32,1,1,2,1
273,32,5,1,5,6
274,32,10,7,7,10
275,32,15,7,11,9
276,32,20,5,6,8
277,32,7,5,17,17
278,32,2,2,9,5
279,32,9,2,4,3
280,32,14,9,14,16
281,32,17,9,13,11
282,32,18,11,12,18
283,32,22,11,18,14
284,32,13,6,1,2
285,32,8,6,3,4
286,32,21,10,20,19
287,32,16,10,19,20
288,33,4,4,4,7
289,33,12,4,12,12
290,33,9,2,6,3
291,33,2,2,16,5
292,33,8,6,2,4
293,33,13,6,5,2
294,33,15,7,7,9
295,33,10,7,8,11
296,33,20,5,9,8
297,33,7,5,10,17
298,33,17,9,13,10
299,33,14,9,11,16
300,33,3,3,15,13
301,33,6,3,14,15
302,33,1,1,1,1
303,33,5,1,3,6
304,33,22,11,17,14
305,33,18,11,18,18
306,33,21,10,20,19
307,33,16,10,19,20
308,34,1,1,1,1
309,34,5,1,5,7
310,34,13,6,3,2
311,34,8,6,2,4
312,34,4,4,4,6
313,34,12,4,10,12
314,34,2,2,9,5
315,34,9,2,11,3
316,34,10,7,12,10
317,34,15,7,7,9
318,34,20,5,6,8
319,34,7,5,8,17
320,34,14,9,15,16
321,34,17,9,16,11
322,34,22,11,13,14
323,34,18,11,18,18
324,34,6,3,17,15
325,34,3,3,14,13
326,34,21,10,20,19
327,34,16,10,19,20
328,35,13,6,1,2
329,35,8,6,3,3
330,35,4,4,6,5
331,35,12,4,11,12
332,35,20,5,7,8
333,35,7,5,9,17
334,35,1,1,4,1
335,35,5,1,5,7
336,35,10,7,10,10
