,raceId,driverId,constructorId,grid,position,statusId,constructorForm,driverPerformance
0,18,1,1,1,1,1,5.000164300340007,0.8546516892561985
1,18,5,1,3,5,1,5.000164300340007,0.6374870880727223
2,18,2,2,5,2,1,2.273518167203879,0.8121589582764177
3,18,9,2,2,\N,4,2.273518167203879,0.6644109372145623
4,18,3,3,7,3,1,3.0562390832933315,0.9304577676181545
5,18,6,3,13,6,11,3.0562390832933315,0.595209378167507
6,18,4,4,11,4,1,1.8268815547508408,0.9936597099353724
7,18,12,4,20,\N,8,1.8268815547508408,0.5493004600455449
8,18,7,5,17,7,5,1.5268514086339717,0.833482181177255
9,18,20,5,9,\N,4,1.5268514086339717,0.6504280601084498
10,18,8,6,15,8,5,1.3043673819053694,0.6255465187983794
11,18,13,6,4,\N,5,1.3043673819053694,0.8753066872371988
12,19,8,6,2,1,1,2.273518167203879,0.833482181177255
13,19,13,6,1,\N,20,2.273518167203879,0.6504280601084498
14,19,9,2,4,2,1,3.0562390832933315,0.7405460997436751
15,19,2,2,5,6,1,3.0562390832933315,0.7218109992535692
16,19,5,1,8,3,1,5.000164300340007,0.704076110794661
17,19,1,1,9,5,1,5.000164300340007,0.760184216282552
18,19,15,7,3,4,1,1.3043673819053694,0.9304577676181545
19,19,10,7,10,\N,4,1.3043673819053694,0.595209378167507
20,19,17,9,6,7,1,1.1276580727581926,0.6956029907222245
21,19,14,9,12,9,1,1.1276580727581926,0.7702989490466019
22,19,4,4,7,8,1,1.5268514086339717,0.958450338568484
23,19,12,4,13,11,1,1.5268514086339717,0.5789905357400984
24,19,18,11,11,10,1,0.8505550881170205,0.8121589582764177
25,19,22,11,14,13,11,0.8505550881170205,0.6644109372145623
26,19,21,10,17,12,11,0.7333619496011154,0.8228185034689511
27,19,16,10,20,\N,9,0.7333619496011154,0.6572870861986098
28,19,3,3,16,14,11,1.8268815547508408,0.8853228647478889
29,19,6,3,22,17,12,1.8268815547508408,0.6199361132810149
30,19,19,8,21,15,11,0.6232802959048005,0.6438296975962539
31,19,11,8,19,16,12,0.6232802959048005,0.8441080196559834
32,19,20,5,15,\N,5,0.9797621139807148,0.760184216282552
33,19,7,5,18,\N,20,0.9797621139807148,0.704076110794661
34,20,13,6,2,1,1,3.0562390832933315,0.6901033966578752
35,20,8,6,4,2,1,3.0562390832933315,0.7771369166229789
36,20,9,2,1,3,1,5.000164300340007,0.7771369166229789
37,20,2,2,6,4,1,5.000164300340007,0.6901033966578752
38,20,5,1,5,5,1,2.273518167203879,0.7502601055951177
39,20,1,1,3,13,11,2.273518167203879,0.7128140986174973
40,20,15,7,7,6,1,1.5268514086339717,0.9250228010521184
41,20,10,7,13,9,1,1.5268514086339717,0.5982043210086038
42,20,17,9,11,7,1,1.1276580727581926,0.8192628663393897
43,20,14,9,17,18,11,1.1276580727581926,0.6596320970315583
44,20,3,3,8,8,1,1.8268815547508408,0.9250228010521184
45,20,6,3,16,14,11,1.8268815547508408,0.5982043210086038
46,20,4,4,10,10,1,1.3043673819053694,0.9659182218621688
47,20,12,4,14,\N,6,1.3043673819053694,0.5742016537909521
48,20,22,11,12,11,1,0.8505550881170205,0.724866149113898
49,20,18,11,9,\N,4,0.8505550881170205,0.7373577049192391
50,20,21,10,18,12,11,0.7333619496011154,0.8546516892561985
51,20,16,10,20,19,12,0.7333619496011154,0.6374870880727223
52,20,7,5,15,15,11,0.9797621139807148,0.7840420102398838
53,20,20,5,19,\N,5,0.9797621139807148,0.6847239865572369
54,20,19,8,21,16,11,0.6232802959048005,0.6794651201920797
55,20,11,8,22,17,11,0.6232802959048005,0.7910059984038539
56,21,8,6,1,1,1,5.000164300340007,0.7805815713698451
57,21,13,6,3,2,1,5.000164300340007,0.6873986386222443
58,21,1,1,5,3,1,2.273518167203879,0.7910059984038539
59,21,5,1,6,\N,3,2.273518167203879,0.6794651201920797
60,21,9,2,4,4,1,3.0562390832933315,0.8174856952317918
61,21,2,2,9,9,1,3.0562390832933315,0.6608156816789187
62,21,17,9,7,5,1,1.3043673819053694,0.8853228647478889
63,21,14,9,17,12,11,1.3043673819053694,0.6199361132810149
64,21,18,11,13,6,1,0.9797621139807148,0.7754208248996446
65,21,22,11,11,\N,4,0.9797621139807148,0.69146704910654
66,21,6,3,12,7,1,1.8268815547508408,0.6538247109161819
67,21,3,3,15,\N,5,1.8268815547508408,0.8281523883408324
68,21,15,7,8,8,1,1.5268514086339717,0.9222298210109765
69,21,10,7,14,11,11,1.5268514086339717,0.5997350360252282
70,21,21,10,19,10,11,0.7333619496011154,0.8853228647478889
71,21,16,10,20,\N,4,0.7333619496011154,0.6199361132810149
72,21,11,8,22,13,11,0.6232802959048005,0.7962623078186398
73,21,19,8,21,\N,21,0.6232802959048005,0.675600119944917
