,raceId,driverId,constructorId,grid,positionOrder,statusId,constructorForm,year,constructorPower
0,18,1,1,1,1,1,5.000164300340007,2008.0,0.6232802959048005
1,18,5,1,3,5,1,5.000164300340007,2008.0,0.6232802959048005
2,18,2,2,5,2,1,2.273518167203879,2008.0,3.0562390832933315
3,18,9,2,2,\N,4,2.273518167203879,2008.0,3.0562390832933315
4,18,3,3,7,3,1,3.0562390832933315,2008.0,1.8268815547508408
5,18,6,3,13,6,11,3.0562390832933315,2008.0,1.8268815547508408
6,18,4,4,11,4,1,1.8268815547508408,2008.0,2.273518167203879
7,18,12,4,20,\N,8,1.8268815547508408,2008.0,2.273518167203879
8,18,7,5,17,7,5,1.5268514086339717,2008.0,1.1276580727581926
9,18,20,5,9,\N,4,1.5268514086339717,2008.0,1.1276580727581926
10,18,8,6,15,8,5,1.3043673819053694,2008.0,5.000164300340007
11,18,13,6,4,\N,5,1.3043673819053694,2008.0,5.000164300340007
12,19,8,6,2,1,1,2.273518167203879,2008.0,5.000164300340007
13,19,13,6,1,\N,20,2.273518167203879,2008.0,5.000164300340007
14,19,9,2,4,2,1,3.0562390832933315,2008.0,3.0562390832933315
15,19,2,2,5,6,1,3.0562390832933315,2008.0,3.0562390832933315
16,19,5,1,8,3,1,5.000164300340007,2008.0,0.6232802959048005
17,19,1,1,9,5,1,5.000164300340007,2008.0,0.6232802959048005
18,19,15,7,3,4,1,1.3043673819053694,2008.0,1.3043673819053694
19,19,10,7,10,\N,4,1.3043673819053694,2008.0,1.3043673819053694
20,19,17,9,6,7,1,1.1276580727581926,2008.0,1.5268514086339717
21,19,14,9,12,9,1,1.1276580727581926,2008.0,1.5268514086339717
22,19,4,4,7,8,1,1.5268514086339717,2008.0,2.273518167203879
23,19,12,4,13,11,1,1.5268514086339717,2008.0,2.273518167203879
24,19,18,11,11,10,1,0.8505550881170205,2008.0,0.9797621139807148
25,19,22,11,14,13,11,0.8505550881170205,2008.0,0.9797621139807148
26,19,21,10,17,12,11,0.7333619496011154,2008.0,1.5268514086339717
27,19,16,10,20,\N,9,0.7333619496011154,2008.0,1.5268514086339717
28,19,3,3,16,14,11,1.8268815547508408,2008.0,1.8268815547508408
29,19,6,3,22,17,12,1.8268815547508408,2008.0,1.8268815547508408
30,19,19,8,21,15,11,0.6232802959048005,2008.0,0.8505550881170205
31,19,11,8,19,16,12,0.6232802959048005,2008.0,0.8505550881170205
32,19,20,5,15,\N,5,0.9797621139807148,2008.0,1.1276580727581926
33,19,7,5,18,\N,20,0.9797621139807148,2008.0,1.1276580727581926
34,20,13,6,2,1,1,3.0562390832933315,2008.0,5.000164300340007
35,20,8,6,4,2,1,3.0562390832933315,2008.0,5.000164300340007
36,20,9,2,1,3,1,5.000164300340007,2008.0,3.0562390832933315
37,20,2,2,6,4,1,5.000164300340007,2008.0,3.0562390832933315
38,20,5,1,5,5,1,2.273518167203879,2008.0,0.6232802959048005
39,20,1,1,3,13,11,2.273518167203879,2008.0,0.6232802959048005
40,20,15,7,7,6,1,1.5268514086339717,2008.0,1.3043673819053694
41,20,10,7,13,9,1,1.5268514086339717,2008.0,1.3043673819053694
42,20,17,9,11,7,1,1.1276580727581926,2008.0,1.5268514086339717
43,20,14,9,17,18,11,1.1276580727581926,2008.0,1.5268514086339717
44,20,3,3,8,8,1,1.8268815547508408,2008.0,1.8268815547508408
45,20,6,3,16,14,11,1.8268815547508408,2008.0,1.8268815547508408
46,20,4,4,10,10,1,1.3043673819053694,2008.0,2.273518167203879
47,20,12,4,14,\N,6,1.3043673819053694,2008.0,2.273518167203879
48,20,22,11,12,11,1,0.8505550881170205,2008.0,0.9797621139807148
49,20,18,11,9,\N,4,0.8505550881170205,2008.0,0.9797621139807148
50,20,21,10,18,12,11,0.7333619496011154,2008.0,1.5268514086339717
51,20,16,10,20,19,12,0.7333619496011154,2008.0,1.5268514086339717
52,20,7,5,15,15,11,0.9797621139807148,2008.0,1.1276580727581926
53,20,20,5,19,\N,5,0.9797621139807148,2008.0,1.1276580727581926
54,20,19,8,21,16,11,0.6232802959048005,2008.0,0.8505550881170205
55,20,11,8,22,17,11,0.6232802959048005,2008.0,0.8505550881170205
56,21,8,6,1,1,1,5.000164300340007,2008.0,5.000164300340007
57,21,13,6,3,2,1,5.000164300340007,2008.0,5.000164300340007
58,21,1,1,5,3,1,2.273518167203879,2008.0,0.6232802959048005
